date,demand_barrels,is_public_holiday,is_promo
2024-01-01,660.1,1,0
2024-01-02,893.7,0,0
2024-01-03,916.8,0,0
2024-01-04,934.3,0,0
2024-01-05,881.2,0,0
2024-01-06,877.5,0,0
2024-01-07,833.1,0,0
2024-01-08,839.9,0,0
2024-01-09,965.4,0,0
2024-01-10,947.4,0,0
2024-01-11,893.0,0,0
2024-01-12,914.2,0,0
2024-01-13,905.4,0,0
2024-01-14,826.7,0,0
2024-01-15,913.4,0,0
2024-01-16,859.8,0,0
2024-01-17,951.0,0,0
2024-01-18,932.4,0,0
2024-01-19,940.1,0,0
2024-01-20,819.9,0,0
2024-01-21,918.8,0,0
2024-01-22,937.3,0,0
2024-01-23,913.9,0,0
2024-01-24,1023.6,0,0
2024-01-25,931.1,0,0
2024-01-26,868.8,0,0
2024-01-27,876.8,0,0
2024-01-28,748.1,0,0
2024-01-29,984.2,0,0
2024-01-30,919.3,0,0
2024-01-31,905.6,0,0
2024-02-01,988.3,0,0
2024-02-02,866.7,0,0
2024-02-03,926.1,0,0
2024-02-04,765.1,0,0
2024-02-05,914.3,0,0
2024-02-06,890.9,0,0
2024-02-07,1011.9,0,0
2024-02-08,1026.7,0,0
2024-02-09,933.4,0,0
2024-02-10,947.2,0,0
2024-02-11,857.3,0,0
2024-02-12,977.0,0,0
2024-02-13,918.7,0,0
2024-02-14,1086.8,0,1
2024-02-15,1083.6,0,1
2024-02-16,1183.1,0,1
2024-02-17,1018.1,0,0
2024-02-18,885.2,0,0
2024-02-19,,0,0
2024-02-20,1046.3,0,0
2024-02-21,972.0,0,0
2024-02-22,967.0,0,0
2024-02-23,975.0,0,0
2024-02-24,918.7,0,0
2024-02-25,866.9,0,0
2024-02-26,902.4,0,0
2024-02-27,990.6,0,0
2024-02-28,964.9,0,0
2024-02-29,1024.0,0,0
2024-03-01,954.8,0,0
2024-03-02,846.8,0,0
2024-03-03,884.2,0,0
2024-03-04,1051.3,0,0
2024-03-05,958.7,0,0
2024-03-06,937.0,0,0
2024-03-07,924.4,0,0
2024-03-08,932.0,0,0
2024-03-09,926.9,0,0
2024-03-10,843.4,0,0
2024-03-11,1050.0,0,0
2024-03-12,971.0,0,0
2024-03-13,989.7,0,0
2024-03-14,1050.6,0,0
